event_id,stock_code,csv_agent,csv_direct_like,parsed_disclosure_type,mismatch
配股_01693.hk_12/01/26,01693,雅利多,False,AGENT_SOURCED,False
配股_01693.hk_06/01/26,01693,-,True,AGENT_SOURCED,True
配股_01693.hk_31/12/25,01693,-,True,NO_DEF,False
配股_01703.hk_15/03/26,01703,宏智,False,UNKNOWN,False
供股_01703.hk_29/07/26,01703,,True,UNKNOWN,False
配股_01709.hk_07/12/25,01709,-,False,NO_DEF,False
配股_01709.hk_21/10/25,01709,"國泰君安, 德林",False,DIRECT_SUBSCRIPTION,False
供股_01715.hk_07/03/25,01715,,True,UNKNOWN,False
配股_01716.hk_07/07/26,01716,邁時資產管理,False,AGENT_SOURCED,False
配股_01718.hk_03/02/26,01718,盈寶,False,AGENT_SOURCED,False
供股_01718.hk_17/01/25,01718,,True,UNKNOWN,False
配股_01725.hk_18/08/26,01725,高歌,False,AGENT_SOURCED,False
配股_01725.hk_05/12/25,01725,鼎石,False,DIRECT_SUBSCRIPTION,False
配股_01726.hk_04/02/26,01726,大聖,False,AGENT_SOURCED,False
配股_01728.hk_30/06/26,01728,富強,False,AGENT_SOURCED,False
配股_01729.hk_12/05/26,01729,麥格理資本,False,AGENT_SOURCED,False
配股_01729.hk_10/02/26,01729,麥格理,False,AGENT_SOURCED,False
配股_01736.hk_17/06/26,01736,-,True,AGENT_SOURCED,True
配股_01736.hk_29/12/25,01736,-,True,AGENT_SOURCED,True
供股_01745.hk_02/06/25,01745,,True,UNKNOWN,False
配股_01747.hk_18/11/25,01747,麥格理,False,AGENT_SOURCED,False
配股_01751.hk_12/12/25,01751,阿仕特朗資本,False,AGENT_SOURCED,False
供股_01751.hk_17/08/26,01751,,True,UNKNOWN,False
供股_01751.hk_06/03/26,01751,,True,UNKNOWN,False
配股_01762.hk_12/03/26,01762,-,True,NO_DEF,False
供股_01765.hk_30/07/25,01765,,True,UNKNOWN,False
供股_01765.hk_10/07/25,01765,,True,UNKNOWN,False
配股_01769.hk_15/10/25,01769,-,True,AGENT_SOURCED,True
配股_01776.hk_07/01/26,01776,-,True,AGENT_SOURCED,True
供股_01778.hk_27/01/25,01778,,True,UNKNOWN,False
配股_01782.hk_20/11/25,01782,德林,False,AGENT_SOURCED,False
配股_01783.hk_11/08/26,01783,"麥格理資本, 德意志銀行, 中銀國際",False,AGENT_SOURCED,False
配股_01783.hk_29/06/26,01783,-,True,NO_DEF,False
配股_01783.hk_17/10/25,01783,-,True,AGENT_SOURCED,True
配股_01792.hk_19/01/26,01792,華業,False,AGENT_SOURCED,False
配股_01792.hk_18/10/25,01792,-,True,AGENT_SOURCED,True
供股_01792.hk_18/06/26,01792,,True,UNKNOWN,False
配股_01796.hk_13/02/26,01796,-,True,AGENT_SOURCED,True
配股_01801.hk_22/10/25,01801,-,True,AGENT_SOURCED,True
配股_01803.hk_12/05/26,01803,-,True,DIRECT_SUBSCRIPTION,False
配股_01808.hk_15/05/26,01808,華福國際,False,AGENT_SOURCED,False
配股_01815.hk_19/11/25,01815,-,True,DIRECT_SUBSCRIPTION,False
配股_01822.hk_21/10/25,01822,昌利,False,NO_DEF,False
供股_01822.hk_18/06/26,01822,,True,UNKNOWN,False
供股_01822.hk_19/11/24,01822,,True,UNKNOWN,False
配股_01823.hk_11/02/26,01823,第一上海,False,AGENT_SOURCED,False
配股_01825.hk_29/12/25,01825,紫荊融資,False,AGENT_SOURCED,False
配股_01826.hk_12/01/26,01826,國投,False,AGENT_SOURCED,False
供股_01826.hk_29/05/26,01826,,True,UNKNOWN,False
配股_01835.hk_30/06/26,01835,-,True,UNKNOWN,False
配股_01842.hk_30/06/26,01842,-,True,DIRECT_SUBSCRIPTION,False
供股_01850.hk_19/12/24,01850,,True,UNKNOWN,False
配股_01865.hk_10/08/26,01865,-,True,AGENT_SOURCED,True
供股_01865.hk_19/07/24,01865,,True,UNKNOWN,False
配股_01869.hk_12/08/26,01869,元宇宙,False,AGENT_SOURCED,False
配股_01869.hk_16/06/26,01869,中毅資本,False,AGENT_SOURCED,False
配股_01870.hk_17/07/26,01870,華盛資本,False,AGENT_SOURCED,False
配股_01870.hk_09/12/25,01870,華盛資本,False,AGENT_SOURCED,False
供股_01872.hk_12/07/24,01872,,True,UNKNOWN,False
配股_01880.hk_20/01/26,01880,-,True,NO_DEF,False
供股_01894.hk_11/12/25,01894,,True,UNKNOWN,False
配股_01894.hk_07/07/26,01894,-,True,DIRECT_SUBSCRIPTION,False
供股_01906.hk_19/06/24,01906,,True,UNKNOWN,False
供股_01909.hk_05/10/25,01909,,True,UNKNOWN,False
配股_01912.hk_08/06/26,01912,-,True,UNKNOWN,False
配股_01918.hk_24/08/26,01918,-,False,NO_DEF,False
配股_01920.hk_15/06/26,01920,黃河,False,NO_DEF,False
配股_01920.hk_10/11/25,01920,-,True,DIRECT_SUBSCRIPTION,False
配股_01921.hk_28/04/26,01921,滙豐,False,NO_DEF,False
配股_01939.hk_30/09/25,01939,東吳,False,AGENT_SOURCED,False
供股_01942.hk_21/05/26,01942,,True,UNKNOWN,False
配股_01943.hk_25/06/26,01943,鼎石,False,AGENT_SOURCED,False
配股_01949.hk_26/06/26,01949,-,True,DIRECT_SUBSCRIPTION,False
配股_01950.hk_30/06/26,01950,中富,False,AGENT_SOURCED,False
配股_01961.hk_04/03/26,01961,鼎石,False,AGENT_SOURCED,False
配股_01966.hk_13/04/26,01966,-,True,NO_DEF,False
配股_01985.hk_06/07/26,01985,阿仕特朗,False,AGENT_SOURCED,False
供股_01991.hk_05/02/26,01991,,True,UNKNOWN,False
配股_02007.hk_22/12/25,02007,-,True,NO_DEF,False
配股_02012.hk_21/12/25,02012,滿好,False,NO_DEF,False
